MeltWater_F,MeltWater_Cl,sample
1.3076861739032541,1.1194473284574589,Ap1
2.729843903578666,2.5915877790046364,Ap1
1.6185629680941134,1.4204399530156666,Ap1
1.7317165967014336,1.5329652866386765,Ap1
4.044635105337462,4.162293792544534,Ap1
1.8908160156806013,1.6938094150963428,Ap1
2.765637680949921,2.6317108616782208,Ap1
2.187850355832743,2.0021994920124007,Ap1
1.317610128043749,1.1288678577866882,Ap1
2.5592591887972866,2.4024048474486546,Ap1
0.8779361773452498,0.7238426616385751,Ap1
1.5472551984177216,1.3503348972961429,Ap1
3.2591241162778664,3.1999253616090484,Ap1
3.781838328187275,3.8323743187172616,Ap1
3.863089449047129,3.9335199554188254,Ap1
5.061541168293831,5.515948654396644,Ap1
4.618825051900263,4.911376295238759,Ap1
2.111792374192311,1.922237832234799,Ap1
3.924447994210404,4.010410839112479,Ap1
3.0202805863588664,2.9214149755538306,Ap1
4.083733536789918,4.212067153401613,Ap1
6.92830986440685,8.3443607692292,Ap1
3.410943113806046,3.380369505371747,Ap1
2.0253009612678223,1.8321380427304728,Ap1
